Tim Burton,director
James Marshall,director
Gandja Monteiro,director
Charles Addams,scriitor
Alfred Gough,scriitor
Miles Millar,scriitor
Kayla Alpert,scriitor
April Blair,scriitor
Matt Lambert,scriitor
Jenna Ortega,actor
Gwendoline Christie,actor
Riki Lindhome,actor
Emma Myers,actor
Joy Sunday,actor
Naomi J. Ogawa,actor
Christina Ricci,actor
Jamie McShane,actor
Hunter Doohan,actor
Percy Hynes White,actor
Georgie Farmer,actor
Johnna Dias-Watson,actor
Oliver Watson,actor
Victor Dorobantu,actor
Moosa Mostafa,actor
Daniel Himschoot,actor
Luyanda Unati Lewis-Nyawo,actor
Iman Marson,actor
Calum Ross,actor
Cezar Grumazescu,actor
Tommie Earl Jenkins,actor
Catherine Zeta-Jones,actor
Morgan Beale,actor
George Burcea,actor
Islam Bouakkaz,actor
William Houston,actor
Karina Varadi,actor
Rina Mahoney,actor
Georgia Goodman,actor
Murray McArthur,actor
Fred Armisen,actor
Luis Guzm�n,actor
Olimpia Malai,actor
Isaac Ordonez,actor
Nitin Ganatra,actor
Lucius Hoyos,actor
Cheherezade Valentine Okotaka Ebale,actor
Oliver Wickham,actor
Edward Kennedy,actor
Ismail Kesu,actor
James Clay,actor
Caroline Lawrie,actor
Lachele Carl,actor
Gwen Jones,actor
Lisa O'Hare,actor
Sophia Nomvete,actor
Ichiro Yuki,actor
Amanda Drew,actor
Ryan Ellsworth,actor
Gloria Garcia,actor
Gracy Goldman,actor
Lewis Hayes,actor
Philip Rosch,actor
Horia Bazavan,actor
Chloe Cate,actor
Simon Furness,actor
Tim Burton,producator
Jonathan Glickman,producator
Carla Gonz�lez Vargas,producator
Alfred Gough,producator
Tommy Harper,producator
Nick Iannelli,producator
Kevin Lafferty,producator
Miles Millar,producator
David Minkowski,producator
Kevin Miserocchi,producator
Andrew Mittman,producator
Carmen Pepelea,producator
Steve Stark,producator
Natalie Testa,producator
Todd Williams,producator
Chris Bacon,producator
Danny Elfman,producator
Stephan Pehrsson,producator
David Lanzenberg,producator
Ana Yavari,producator
Jay Prychidny,muzica
Paul G. Day,muzica
Florina Fernandes,cinematografie
Sophie Holland,cinematografie
John Papsidera,editor
Mark Scruton,editor
Adrian Curelea,editor
Ghinea Diana,distribuitor
Silvia Nancu,distribuitor
Andrei-Florian Popa,distribuitor
Serban Porupca,productie
Vlad Roseanu,artist
Roxana Alexandru,artist
Carmen Ratoi,artist
Laurentiu Zarnoianu,artist
David Morison,artist
Rob Hepburn,artist
Colleen Atwood,artist
Bianca Boeroiu,artist
Catalin Ciutu,set
Natalie L Costello,set
Julian Hutcheson,set
Nirvana Jalalvand,costum
Grace McComisky,makeup
Tara McDonald,makeup
Dominic Mombrun,makeup
Angela Ruiz Morales,makeup
Paraschiv Oana,makeup
Alexandru Sassu,makeup
Bas Schwarz,makeup
Rub�n Serra,makeup
Margo Stefan,makeup
Viktoria Stieber,makeup
Sinead Sweeney,makeup
Iuliana Temelie,makeup
Clara Tudose,makeup
Raquel �lvarez,makeup
Freda Ellis,makeup
Ripley Dale-Gulston,makeup
Olimpia Stoicea,makeup
Tia Costell,makeup
Susan Cole,makeup
Jean Carlos de Blas,makeup
Gabriella Havens,makeup
Sheherezada Kouchaki,makeup
Raluca Moldoveanu,makeup
Andrea Dardea Tesdall,makeup
Nicoleta Toader,makeup
Natalie Fox,makeup
Niki De Jong,makeup
Ionel Popa,makeup
Athina Sapanidis,makeup
Razvan Badea,makeup
Irene Iovan Calangiu,makeup
Alexandru Cseh,makeup
Emma Mallett,makeup
Alexandru Acsinte,makeup
Emilie Balusson,makeup
Bianca Bumbacea,makeup
Simona Dinu,makeup
Mariana Grama,makeup
Mircea Hategan,manager
Stefania Ispas,manager
Loyzo,manager
Raphael Tudor,asistentDirector
Costin Sforaru,asistentDirector
Sabina Balan,asistentDirector
Brett Chan,asistentDirector
Ada Dumitru,asistentDirector
Emyr Glyn Rees,asistentDirector
Jessica Kirec,asistentDirector
George Walker,asistentDirector
Richard O'Brien-Moran,asistentDirector
Mihaela Ionita,asistentDirector
Alexandra Popa,asistentDirector
Alexandru Trandafira,asistentDirector
Sucioaia Alexandra,asistentDirector
Tache Alexandru,asistentDirector
Corneliu Mihai Bonciu,asistentDirector
Rachel Garlick,asistentDirector
Florin Gavrila,asistentDirector
Adi Handac,asistentDirector
Dana Ilie,asistentDirector
Alexandru Titus Ipate,asistentDirector
Simona Maican,artist
Cristian Mihaila,artist
Cosmin Miroiu,artist
Amalia Mititelu,artist
Pietro Nume,artist
Iulia Petrescu,artist
Madalina Ripanu,artist
Geaniloni Sandru,artist
Eusebiu Sirbu,artist
Cristina Stefan,artist
Alexandra Tudor,artist
Laurentiu Zarnoianu,artist
Liviu Antonescu,artist
Madalina Ciosu,artist
Tudor Iordachescu,artist
Anca Iscru,artist
Ana Neag,artist
Iulia Pasarica,artist
Andreea Siminea,artist
Amy Lockwood,artist
Andrew Cherry,artist
Cristian Darstar,artist
Adrian Curelea,artist
Serban Porupca,artist
Radu Costache,artist
Jennifer Keen,artist
Karen Krizanovich,artist
Ben Livingstone,artist
Yohann Angelvy,artist
Michael Baskerville,artist
Nicolae Comarzan,artist
Tony Diaz,artist
Arturo A. Fuenmayor,artist
Alastair Gray,artist
Justin Helle,artist
John Loranger,artist
Liviu Lupsa,sunetist
Kristi McIntyre,sunetist
Sean Miller,sunetist
Faustine Pelipel,sunetist
Dan Sexton,sunetist
Alex Stylianou,sunetist
Jamie Sulek,sunetist
Mike Tehrani,sunetist
Marcus Byrne,sunetist
Greg Crawford,sunetist
Juan Martin Del Campo,sunetist
Tim McKeever,sunetist
Simon Diggins,sunetist
Jonathan Gomez,sunetist
Nathan Jackson,sunetist
William Kellerman,sunetist
Leslie Liu,sunetist
Ana Quiroga,sunetist
Dan Barcutean,sunetist
Max Costello,sunetist
Florin Stoian,sunetist
Harry Troughton,sunetist
Jason Troughton,sunetist
Adrian Nica,sunetist
Ilinca Angelescu,sunetist
Yovko Dogandjiiski,sunetist
Antonia Tocheva,sunetist
Matthew Adams,sunetist
Oana Bardan,efecte
Craig Calvert,efecte
Kevin Chandoo,efecte
Nick Colangelo,efecte
John Coldrick,efecte
Sam Cole,efecte
Chris Cooper,efecte
Roger Dalupang,efecte
Swedyl DSouza,efecte
Maxime Ducharme,efecte
Paula Fanaia,efecte
Mariah Fleetham,efecte
Kathryn Foster,efecte
Ben Funk,efecte
Keith Goh,efecte
Kari-Lyn Gravel,efecte
Jon Howard,efecte
Kent Johnson,efecte
Anna Joukova,efecte
Jesse Kawzenuk,efecte
Grant Lee,efecte
Jake Lunt Davies,efecte
Dumitrana Teodora Lupu,efecte
Amy Madigan,efecte
Yael Majors,efecte
Mariano Mendoza,efecte
Guillermo Molina,efecte
Skye Morandin,efecte
Tom Nagy,efecte
Ken Nielsen,efecte
Razvan Nineaca,efecte
Anthony O'Connell,efecte
Catalin Otelea,efecte
Matei Ovejan,efecte
Alessandro Pantanella,efecte
Travis Pond,efecte
Yawar Raja,efecte
Aditya Sawant,efecte
Matt Schofield,efecte
Ksenia Shutova,efecte
Mark Simone,efecte
Denis St-Pierre,efecte
Ryan Terk,efecte
Jason Teske,efecte
Tom Turnbull,efecte
Fabi�n Varela,efecte
Kelly Weisz,efecte
Angela Zhang,efecte
Kayden Anderson,efecte
Eddie Englander,efecte
Rashid Khallouk,efecte
Timothy Mah,efecte
Michael Osuszek,efecte
Rodrigo Paiva,efecte
Suresh Pandi,efecte
Francois Robert,efecte
Adam Smith,efecte
Sarvesh Amre,efecte
Beno�t Bri�re,efecte
Paul Chambers,efecte
Dipak Gaur,efecte
Taraknath Ghosh,efecte
Baz Lanaris,efecte
Prateek Mishra,efecte
Erin Nicholson,efecte
Bikram Singh,efecte
Khushroo Surveyor,efecte
Ramesh Kumar Yanagandhula,efecte
Lynx Zuo,efecte
Patti Gannon,efecte
Tanya Haddad,efecte
JoAnna Johnson,efecte
Luca Lim Diniz,efecte
Brodie McNeill,efecte
Tabata Ortiz,efecte
Nishant Patel,efecte
Umapathy Rajarathinam,efecte
Genesis Rivas,efecte
Manish Rohith,efecte
Luca Gabriele Rossetti,efecte
Salil Thapa,efecte
Fran�ois Trudel,efecte
Wesley While,efecte
Kaylie Whitcher,efecte
Sarah Wormsbecher,efecte
Summer Zong,efecte
Oksana Andrulis,efecte
David Dionne,efecte
Josh George,efecte
James Takashi Higuchi,efecte
Christopher Jude,efecte
Jos� Lasa,efecte
Marco Lee,efecte
Dinaaz Mathur,efecte
Ben McDougal,efecte
Sumit Mukherjee,efecte
Isha Nigam,efecte
Ryan Jae Wook Park,efecte
Gustavo Sanchez-Perez,efecte
Kyle Sim,efecte
Pankaj Umbarkar,efecte
Sahil Agrahari,efecte
Chris Archinet,efecte
Ajay Kumar Attinti,efecte
Samuel Boisvert,efecte
Reine Bourgault,efecte
Aakash Chaudhari,efecte
Dave David,efecte
Amod Diwakar,efecte
Nadine Fr�ve,efecte
Mark Goldberg,efecte
Leonardo Andres Grabau Villalba,efecte
Jonathan Gr�goire,efecte
Jeanne Hebert,efecte
Pravin Hodage,efecte
Cory Humes,efecte
Siddarth Jambhulkar,efecte
Mukesh Joshi,efecte
Simon Lecavalier,efecte
Christophe Longtin,efecte
Oleg Memukhin,efecte
Waseem Mohammed,efecte
Dany Richard,efecte
Nisarg Suthar,efecte
Nitesh Sutrave,efecte
Sarvesh Talekar,efecte
Himani Tyagi,efecte
Waseem Ahmad Khan,efecte
Rodrigo Albano,efecte
Don Carlo Alvir,efecte
Leanndro Amorim,efecte
Seshadri Anand,efecte
Blake Anderson,efecte
Schuyler Anderson,efecte
Edwin Arismendez,efecte
Jessica Bayliss,efecte
Sudhakar Bhavanasi,efecte
Alan Bisht,efecte
William Blanchette,efecte
Jordan Boulais,efecte
J. Alan Bradshaw,efecte
Peter Braeley,efecte
Charlotte Breton,efecte
Alex Bronfman,efecte
Jonathan Bronfman,efecte
Dennis Chan,efecte
Hardik Chauhan,efecte
Molly Chen,efecte
Sujesh V. Chitty,efecte
Nolan Conrad,efecte
Andr�s Couturier,efecte
Madhu Dasyapu,efecte
Rodrigo de Angelis,efecte
Sofia Diaz,efecte
Maya Dumont-Deslandes,efecte
Abdullah Ecirli,efecte
Manoj Kumar Elangovan,efecte
Michael Enzbrunner,efecte
Timothy Fleur,efecte
Adam Fok,efecte
Gil Franco,efecte
Emily Funk,efecte
Antonio Gallardo,efecte
Gregory Galliani,efecte
Igor Garanovschii,efecte
Kunal Ghai,efecte
Rakan Ghresi,efecte
Jimmy Gill,efecte
Yash Gowda,efecte
Jameer Haider,efecte
Lewis Hawkes,efecte
Jim Hillin,efecte
Curtis Hsiung,efecte
Chen Kuang Hsu,efecte
Salvatore Iamonte,efecte
Pragati Jana,efecte
Juyong Jeon,efecte
Kenny Jia,efecte
Laszlo Kalbache,efecte
Ashraf Karim,efecte
Sharad Kate,efecte
Min Kim,efecte
Jamie Knoop,efecte
Ashwini Lad,efecte
Nadege Lagueux-Beloin,efecte
Tukaram Landbale,efecte
Dany Lebrasseur,efecte
Kate T.C. Lin,efecte
Matthias Lowry,efecte
Jimmy Lue,efecte
Jim Maxwell,efecte
Jay Mehta,efecte
Kristine Middlemiss,efecte
Ali Mio,efecte
Guto Miranda,efecte
Vashishta Mohit,efecte
Lon Molnar,efecte
Jose Ignacio Narv�ez Monroy,efecte
Atyeb Muneer,efecte
Ganesh Ramdas Nalle,efecte
Michael Naphan,efecte
Marla Oriol,efecte
Daksh Pandya,efecte
Niki Patterson,efecte
Aravind Pauldurai,efecte
Victor Perez,efecte
Navin Pinto,efecte
Norman Ran,efecte
Parastu Rezaie,efecte
Jean-Christophe Rodier,efecte
Dmitry Ryabchuk,efecte
Maryam Salehi,efecte
Rajvinder Sandhu,efecte
Eric Sanford,efecte
Rohan Sapkal,efecte
Alexandre Savard-Boisvert,efecte
Mark Schreiber,efecte
Aryan Sehgal,efecte
Ronak Shah,efecte
Neelima Sharma,efecte
Vishal Shitole,efecte
Casey Sincic,efecte
Lovelesh Singh,efecte
Kalpana Mahapatro Siromani,efecte
Joseph Soloway,efecte
Meredith Sproul,efecte
Danny Testani,efecte
Ali Thaheem,efecte
Hyacinthe Thomas,efecte
Phillip Thomas,efecte
Susana Vasquez,efecte
Marcus Vinicius,efecte
Louis Vottero,efecte
Tina Vuu,efecte
Tanja Wax,efecte
Christina Wise,efecte
Jill Wu,efecte
Alphonso Young,efecte
Refo Yovarda,efecte
Virpalsinh Zala,efecte
Abin Abraham,efecte
Adrian Bobb,efecte
Eddie Bonin,efecte
R�mi Bruschini,efecte
Binod Kumar Das,efecte
Tiago Foa,efecte
Jaime Fok,efecte
